keyword,type,ws_base,ws_exact_quote,ws_fixed_excl,target_page,start_position,measure_date,notes
планово-предупредительный ремонт,ВЧ,,,,/blog/grafik-ppr-oborudovaniya-obrazec/,,,
график ППР,ВЧ-СЧ,,,,/blog/grafik-ppr-oborudovaniya-obrazec/,,,
ППР,ВЧ-СЧ,,,,/blog/grafik-ppr-oborudovaniya-obrazec/,,,многозначное — смотреть с уточнением «ремонт оборудования»
график ППР оборудования,СЧ-главный,,,,/blog/grafik-ppr-oborudovaniya-obrazec/,,,
график ППР образец,СЧ,,,,/blog/grafik-ppr-oborudovaniya-obrazec/,,,
график ППР бланк,СЧ,,,,/blog/grafik-ppr-oborudovaniya-obrazec/,,,
график ППР скачать,СЧ,,,,/blog/grafik-ppr-oborudovaniya-obrazec/,,,
план-график ППР,СЧ,,,,/blog/grafik-ppr-oborudovaniya-obrazec/,,,
как составить график ППР,СЧ-howto,,,,/blog/grafik-ppr-oborudovaniya-obrazec/,,,
график ППР электрооборудования,СЧ-отраслевой,,,,/blog/grafik-ppr-oborudovaniya-obrazec/,,,
годовой график ППР,СЧ,,,,/blog/grafik-ppr-oborudovaniya-obrazec/,,,
межремонтный цикл,НЧ-СЧ,,,,/blog/grafik-ppr-oborudovaniya-obrazec/,,,
периодичность ТО оборудования,СЧ,,,,/blog/grafik-ppr-oborudovaniya-obrazec/,,,
автоматизация ППР,НЧ-коммерч,,,,/blog/grafik-ppr-oborudovaniya-obrazec/,,,
система ППР,НЧ-СЧ,,,,/blog/grafik-ppr-oborudovaniya-obrazec/,,,
наряд-заказ,ВЧ,,,,/blog/naryad-zakaz-na-remont-oborudovaniya-obrazec/,,,
наряд-заказ образец,ВЧ-СЧ,,,,/blog/naryad-zakaz-na-remont-oborudovaniya-obrazec/,,,
наряд-заказ на ремонт оборудования,СЧ,,,,/blog/naryad-zakaz-na-remont-oborudovaniya-obrazec/,,,
программа для ТОиР,СЧ,,,,/,,,коммерческий — главная/будущий обзор
система ТОиР,СЧ,,,,/,,,
автоматизация ТОиР,СЧ,,,,/,,,
